state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-16,5,Post,C,3.0,-0.32935282215444445,D,2.0,-0.59421357461236257,D,2.0,-0.99453612496123356,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-15,4,Post,C,3.0,-0.37553585386710059,D,2.0,-0.570401857875225,D,2.0,-0.99482602851941548,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-14,3,Post,C,3.0,-0.35597381121076671,D,2.0,-0.59632343529742782,D,2.0,-0.99558793389943123,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-13,2,Post,C-,2.7,-0.38315950073309629,D,2.0,-0.51217259320902875,F,1.0,-0.995704519022641,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-12,1,Post,B+,4.3,-0.50783604407245508,C,3.0,-0.779110364045691,A,5.0,-0.99775959086066845,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-11,7,Post,B,4.0,-0.51968126835230355,C,3.0,-0.66887651760121658,B,4.0,-0.99476827475474794,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-10,6,Post,C,3.0,-0.3644110650478643,D,2.0,-0.594816288455561,D,2.0,-0.99354798764931207,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-09,5,Post,C,3.0,-0.33418576768715708,D,2.0,-0.5882438226604233,D,2.0,-0.9949480736884555,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-08,4,Post,C,3.0,-0.34092852217547354,D,2.0,-0.55138684170710739,D,2.0,-0.99503900751569,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-07,3,Post,C,3.0,-0.32661230624425325,D,2.0,-0.58253075564648837,D,2.0,-0.99593197297791858,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-06,2,Post,C,3.0,-0.38058274913810286,D,2.0,-0.58981336356882785,D,2.0,-0.99564453751501691,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-05,1,Post,B,4.0,-0.45403272121269933,C,3.0,-0.66613049743905928,B,4.0,-0.99646562396084681,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-04,7,Post,B-,3.7,-0.36132745629931567,D,2.0,-0.65757560135987014,B,4.0,-0.99517018768399768,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-03,6,Post,C+,3.3,-0.40631193893270234,C,3.0,-0.59058013757795957,D,2.0,-0.994339615787401,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-02,5,Post,C+,3.3,-0.39094852280261877,D,2.0,-0.60874870911611234,C,3.0,-0.99574729041192289,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-04-01,4,Post,C,3.0,-0.35844049543232881,D,2.0,-0.56885369190280721,D,2.0,-0.99612398555273907,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-31,3,Post,C,3.0,-0.333183810039768,D,2.0,-0.5643575223806272,D,2.0,-0.99586376617883776,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-30,2,Post,C,3.0,-0.3383388474582481,D,2.0,-0.558126012798804,D,2.0,-0.9959774670938174,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-29,1,Post,B-,3.7,-0.38671615558314226,D,2.0,-0.65778601838947148,B,4.0,-0.99398576642115155,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-28,7,Post,B,4.0,-0.35709490453692533,D,2.0,-0.70576566984162559,A,5.0,-0.99359274742347425,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-27,6,Post,C-,2.7,-0.29953179141119834,D,2.0,-0.51155223898194779,F,1.0,-0.98821375205722362,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-26,5,Post,C-,2.7,-0.27065795438468188,D,2.0,-0.51556917786058609,F,1.0,-0.98991746075549825,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-25,4,Post,D+,2.3,-0.22744354923026697,F,1.0,-0.50608949257403979,F,1.0,-0.99157043307826587,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-24,3,Post,D+,2.3,-0.2142626782629565,F,1.0,-0.48814060609066828,F,1.0,-0.99115956239291025,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-23,2,Post,C-,2.7,-0.26083556573245942,D,2.0,-0.48986462692595961,F,1.0,-0.991110799098673,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-22,1,Post,C,3.0,-0.2550940827956949,D,2.0,-0.57313794189211054,D,2.0,-0.99353186377286584,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-21,7,Post,C+,3.3,-0.22983047671141621,F,1.0,-0.65519081410057378,B,4.0,-0.99418053772934789,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-20,6,Post,C,3.0,-0.22731954816756997,F,1.0,-0.61888461480230572,C,3.0,-0.99164550412276609,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-19,5,Post,D+,2.3,-0.1680343545481166,F,1.0,-0.50736554673885881,F,1.0,-0.9904844867299144,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-18,4,Post,D+,2.3,-0.14151838614080739,F,1.0,-0.40103822382987042,F,1.0,-0.98916966295427577,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-17,3,Post,D+,2.3,-0.0803847196914428,F,1.0,-0.30157159079836832,F,1.0,-0.98882709846335259,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-16,2,Post,D+,2.3,-0.18810926977916093,F,1.0,-0.10989571096095758,F,1.0,-0.98577352030783916,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-15,1,Post,D+,2.3,-0.22521992557517853,F,1.0,-0.25320056234702054,F,1.0,-0.98808775672471461,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-14,7,Post,C-,2.7,-0.34899650946126054,D,2.0,-0.23760527287554936,F,1.0,-0.985240318583761,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-13,6,Post,D+,2.3,-0.20314367765113855,F,1.0,-0.11538858803844153,F,1.0,-0.97811956223760543,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-12,5,Post,D+,2.3,-0.1525587061252183,F,1.0,-0.031467714022293675,F,1.0,-0.97916576509180986,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-11,4,Post,D+,2.3,-0.075056084981746055,F,1.0,-0.06269552136811507,F,1.0,-0.97475357954772024,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-10,3,Post,D+,2.3,-0.095438215932402953,F,1.0,-0.021367115258131477,F,1.0,-0.97720038823467037,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-09,2,Post,D+,2.3,-0.13384808123262409,F,1.0,-0.020652050889439062,F,1.0,-0.97887731940142753,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-08,1,Pre,D+,2.3,-0.11270456716467885,F,1.0,-0.056426168073139341,F,1.0,-0.98380335168190181,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-07,7,Pre,D+,2.3,-0.10863762722694316,F,1.0,0.038528546045316969,F,1.0,-0.97246940913114521,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-06,6,Pre,D+,2.3,-0.097555397626161625,F,1.0,0.00057363740893331332,F,1.0,-0.97021878109615534,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-05,5,Pre,D+,2.3,-0.099722313565208137,F,1.0,-0.03618451031794459,F,1.0,-0.97490024525543584,A,5.0
MT,30,Montana,1062305,2020-04-17 19:15:42.785758 UTC,2020-03-04,4,Pre,D+,2.3,-0.051424491453965764,F,1.0,0.019765064598090829,F,1.0,-0.97750771913149148,A,5.0
